Country,Summary
Argentina,"Argentina performs at the median on QoD, below average in terms of QoG, and well below average
in terms of QoL. In relation to its GDP, Argentina is an underachiever, especially with regard to QoG and QoL. Although the country has near average scores for mid- level input indicators such as civil society and environment and an above average score for feedback mechanisms, Argentina scores amongst the lowest for throughputs such as bureaucratic recruitment and for outputs such as crime control and education."
Australia,"Australia achieves very good performances for its QoD, QoG and QoL, always positioned among the top 8 countries in the sample. In terms of GDP, it overachieves in terms of all 3 high-level indices. Almost all its QoG-related sub-index scores are above 90. Potential challenges for Australia are indicated by the QoL sub-indices of business procedures and other public services, which, though lower than the country’s other sub-index scores, are nevertheless above the 38-country average."
Brazil,"Brazil ranks below the median for QoD and QoG, and falters substantially in its QoL performance, which
is in 2018 some 10 points lower than it was in 2004. In relation to its GDP, Brazil is an extreme underachiever in terms of QoL, as reflected in weak scores on education and crime control, in particular. Among the QoG mid-level indices, Brazil’s score on (non)politicized bureaucracy and bureaucratic recruitment are above average, as is its score for democratic feedback mechanisms."
Canada,"Canada is a strong overall performer, with top-10 scores for its performance on QoD, QoG and QoL. In relation to its GDP, Canada is an overachiever on all three indices, but especially on QoD, for which its scores on all sub-indices are higher than 80 points. Although Canada’s performance is above the 38-country average on all sub-indices, its scores for several, including other public services, is somewhat weaker."
Chile,"Chile’s performance ranks it at the average for QoD, above for QoG and somewhat below for QoL. In relation to its GDP, Chile achieves more than might be expected on QoG, but less than might be expected on QoL. These rankings are, however, marked by extremes within all three dimensions at the level of corresponding sub-indices. Within QoD for example, Chile’s scores are well above average for feedback mechanisms, but below average for other QoD sub-indices. Similarly within QoL, the country’s above average performance for business procedures, control of the shadow economy and public health has its counterpart in below average scores for education and control of crime."
China,"While China ranks among the bottom 12 for
its QoD and QoG performances, remaining there even
in relation to its GDP, it fares better in terms of QoL,
where it rises to the middle third of countries and is a
high overachiever in relation to its GDP. Ranking at the bottom for feedback mechanisms, China also experiences challenges pertaining to general and judicial impartiality and politicized bureaucracy. On the other hand, the country attains above average scores for crime control, education, other public services, and control of the shadow economy."
Colombia,"While Colombia performs below the average for QoD and QoG, its QoL score lies well below average. On all three high-level indices, Colombia scores lower than might be expected in relation to its GDP. While the country performs above average in the QoG sub-indices analytical capacity and coordination, it is hampered by particularly low scores on crime rates, education and bureaucratic recruitment."
Egypt,"Egypt performs in the bottom 10 on the QoD, QoG and QoL indices, though in relation to its GDP, it achieves what might be expected in relation to its GDP on QoG and QoL. More specifically, it ranks near the bottom on sub-indices such as analytical capacity, civil justice, coordination, environment, feedback mechanisms and impartiality of public officials. The country achieves a somewhat higher score on public health."
France,"France appears in the top 12 for QoD, QoG
and QoL, achieving more than might be expected given
its GDP, in terms of both QoD and QoL. Particularly strong performance is found in sub-indices such as civil society, impartiality, procedural efficiency and other (infrastructural) public services. Nonetheless, a score closer to the average for analytical capacity might indicate challenges."
Georgia,"Georgia ranks below average for QoD, slightly above for QoG, but just below for QoL, and significantly overachieving on QoG and QoL in relation to the country’s GDP. Behind these performances are wide variations within each dimension. In QoG, for example, whereas Georgia’s score on the politicized bureaucracy sub-index is among the lowest (meaning that the bureaucracy is highly politicized), its scores on most other sub-indices within
this dimension are near the average. Similarly in the QoL dimension, average performances on most sub-indices are counterbalanced by a weak score on education. It is worth mentioning that Georgia’s QoG and QoL scores showed
a strong increase between 2004 and 2012/13, and although they have since declined somewhat, the
scores remain higher."
Germany,"Germany is in the top five for its QoD, QoG and QoL performances and overachieves on all three indices in relation to its GDP. The country ranks near the top of the sample for civil justice, impartiality, analytical capacity, coordination and control of corruption, among other mid- level indicators."
Ghana,"Ghana exhibits a below average performance on all three governance dimensions, QoD, QoG and QoL, but, when level of economic development is taken into account, achieves more than might be expected, especially on QoG. It ranks well above the 38-country average for feedback mechanisms and just above or near the median on impartiality. Judicial impartiality, civil justice and (non)politicized bureaucracy. Ghana’s scores on all other sub-indices are below or well below average, with particular concern for corruption control and coordination within the QoG dimension and public health, environment and other public services in the QoL dimension."
India,"Despite a median QoD performance, India ranks among the bottom ten countries for QoG and QoL. In relation to its GDP, the country significantly overachieves
in terms of QoD, but performs only slightly better on
QoG and QoL than might be expected given its level of economic development. Its scores for business procedures, environment, and public health are particularly weak. However, India’s scores are above average in (lack of) politicized bureaucracy and bureaucratic recruitment."
